iter	Passed	Remaining
399	26441	39661
400	26529	39628
401	26584	39545
402	26650	39480
403	26715	39411
404	26795	39366
405	26864	39304
406	26945	39259
407	27017	39202
408	27095	39152
409	27210	39156
410	27260	39067
411	27331	39007
412	27395	38936
413	27464	38874
414	27527	38804
415	27599	38745
416	27664	38677
417	27704	38574
418	27800	38549
419	27856	38468
420	27933	38416
421	28012	38368
422	28073	38294
423	28151	38243
424	28226	38188
425	28300	38132
426	28376	38079
427	28465	38042
428	28549	37998
429	28631	37953
430	28708	37900
431	28785	37846
432	28826	37747
433	28894	37682
434	28923	37567
435	28997	37510
436	29038	37411
437	29113	37356
438	29161	37265
439	29207	37173
440	29263	37093
441	29319	37014
442	29385	36947
443	29458	36889
444	29534	36835
445	29613	36783
446	29707	36752
447	29784	36698
448	29848	36629
449	29924	36574
450	29999	36518
451	30072	36459
452	30129	36381
453	30207	36328
454	30286	36277
455	30303	36151
456	30375	36092
457	30465	36053
458	30552	36010
459	30642	35971
460	30726	35924
461	30798	35864
462	30887	35824
463	30939	35741
464	31017	35687
465	31037	35566
466	31126	35525
467	31218	35487
468	31284	35420
469	31352	35355
470	31431	35302
471	31501	35238
472	31571	35176
473	31649	35121
474	31714	35053
475	31795	35002
476	31867	34941
477	31933	34873
478	31978	34782
479	32001	34667
480	32085	34620
481	32185	34589
482	32273	34545
483	32318	34455
484	32401	34405
485	32468	34339
486	32489	34223
487	32601	34205
488	32684	34155
489	32732	34068
490	32797	34000
491	32893	33963
492	32961	33897
493	33054	33857
494	33129	33798
495	33207	33742
496	33294	33696
497	33346	33614
498	33389	33523
499	33455	33455
500	33495	33361
501	33567	33300
502	33626	33225
503	33703	33168
504	33717	33049
505	33791	32990
506	33870	32935
507	33934	32866
508	33999	32797
509	34064	32728
510	34133	32663
511	34188	32585
512	34251	32515
513	34310	32441
514	34378	32375
515	34442	32306
516	34475	32208
517	34498	32101
518	34555	32025
519	34618	31955
520	34684	31888
521	34718	31791
522	34775	31716
523	34838	31646
524	34906	31581
525	34964	31508
526	35029	31440
527	35098	31375
528	35159	31304
529	35183	31200
530	35252	31136
531	35319	31070
532	35379	30998
533	35439	30926
534	35524	30876
535	35591	30810
536	35658	30744
537	35727	30680
538	35778	30600
539	35843	30533
540	35893	30453
541	35948	30377
542	35998	30297
543	36059	30226
544	36127	30161
545	36162	30069
546	36236	30009
547	36298	29939
548	36396	29899
549	36484	29850
550	36554	29787
551	36624	29723
552	36703	29668
553	36789	29617
