iter	RMSE
0	0.08259480157
1	0.0811128145799	0.04286704583
3	0.07836814693
4	0.07708956073
5	0.07580474487
6	0.07462652008
7	0.07347209856
8	0.07233261884
9	0.07127260753
10	0.07024797744
11	0.0692831812
12	0.06833039442
13	0.0674120989
14	0.06650511633
15	0.06564630909
16	0.06483930727
17	0.06408360126
18	0.06332235808
19	0.0626000099
20	0.06192610846
21	0.06121484436
22	0.06060511631
23	0.06003445837
24	0.05946591406
25	0.05893485011
26	0.05841949573
27	0.05791514829
28	0.05749550855
29	0.05703515633
30	0.05664870899
31	0.05623217789
32	0.05581094859
33	0.05545415431
34	0.05509612018
35	0.05472780665
36	0.05444525315
37	0.05413674298
38	0.05386703137
39	0.05355004966
40	0.05328736064
41	0.05301901228
42	0.05276509433
43	0.0525395246
44	0.05229036251
45	0.05209426557
46	0.05189595889
47	0.05169222483
48	0.05153338496
49	0.05136536668
50	0.05119676263
51	0.0509827847
52	0.05079889194
53	0.05064553922
54	0.05051304626
55	0.05036908873
56	0.05024572457
57	0.05013750739
58	0.05002059715
59	0.04989048409
60	0.04979323242
61	0.0496661672
62	0.04958332692
63	0.04948470438
64	0.04937445502
65	0.04925445148
66	0.04915869425
67	0.04908689581
68	0.04901155945
69	0.04891088449
70	0.04881159542
71	0.04872488576
72	0.0486489072
73	0.04858638308
74	0.04853484203
75	0.04844878973
76	0.04841106824
77	0.04837359392
78	0.04831128167
79	0.04823700957
80	0.04819012737
81	0.04814605539
82	0.04810575474
83	0.04804327284
84	0.04799862847
85	0.04796210297
86	0.04791894364
87	0.04787819222
88	0.0478276924
89	0.04778476877
90	0.04775075345
91	0.04771674535
92	0.04767346643
93	0.04762769727
94	0.04759416579
95	0.04753955193
96	0.0474919611
97	0.04746592294
98	0.04742885856
99	0.0474036197
100	0.04737310129
101	0.04734047818
102	0.04729439147
103	0.04728433834
104	0.047264934
105	0.04724325146
106	0.04720136662
107	0.04715106749
108	0.04711001666
109	0.04708723428
110	0.04707047626
111	0.04706441951
112	0.04704094676
113	0.04700832058
114	0.04698283773
115	0.04696026416
116	0.04694050033
117	0.04692302923
118	0.04689518545
119	0.04688937123
120	0.04685008018
121	0.04683499032
122	0.04679441919
123	0.04676388639
124	0.04673746621
125	0.04670151763
126	0.04667760383
127	0.04665909825
128	0.04662951076
129	0.04660402503
130	0.04657543505
131	0.04656148675
132	0.04653338068
133	0.0465283578
134	0.04651725612
135	0.04650097539
136	0.04647904584
137	0.04646508607
138	0.04645306527
139	0.04644202839
140	0.04642980563
141	0.04641796344
142	0.04638781256
143	0.04636833048
144	0.04636729575
145	0.04634050368
146	0.04634019275
147	0.04629956441
148	0.0462850065
149	0.04627116805
150	0.04623194098
151	0.0462230098
152	0.04621740087
153	0.04620065464
154	0.0461690707
155	0.04616372383
156	0.04615393425
157	0.0461537842
158	0.04614531859
159	0.04613800735
160	0.04612523485
161	0.0461164801
162	0.04611187224
163	0.04610795124
164	0.04608240007
165	0.04603938625
166	0.04603238377
167	0.0460286498
168	0.04602157405
169	0.0460113235
170	0.04599682305
171	0.04598037394
172	0.04596730155
173	0.04595393807
174	0.04594905047
175	0.04593086196
176	0.04590488922
177	0.0458884232
178	0.04587480903
179	0.04586853493
180	0.0458522406
181	0.0458284102
182	0.04581387953
183	0.04581344619
184	0.04581344602
185	0.04579242344
186	0.04579156483
187	0.04578009252
188	0.04577993441
189	0.04576696247
190	0.04576369822
191	0.04575699589
192	0.04575277382
193	0.04574950131
194	0.04574822957
195	0.04573654204
196	0.04570647609
197	0.045700887
198	0.04569146407
199	0.0456911035
200	0.0456774933
201	0.04566892454
202	0.04565454285
203	0.04565208004
204	0.0456480739
205	0.04564477286
206	0.04564356239
207	0.04564295479
208	0.04564271757
209	0.04564242585
210	0.04561486632
211	0.04561423954
212	0.04558888392
213	0.04557339082
214	0.04554378318
215	0.04553751702
216	0.04553150356
217	0.04551647781
218	0.04551288257
219	0.04551224015
220	0.04549162122
221	0.04547881662
222	0.04547245149
223	0.04547154487
